date,matched_members,exact_ticker_matches,gvkey_matches,unmatched_codes,expected_members,membership_coverage,fundamental_coverage
2000-01-31,462,422,386,30,492,0.9390243902439024,0.8354978354978355
2000-02-29,462,422,386,30,492,0.9390243902439024,0.8354978354978355
2000-03-31,462,423,386,30,492,0.9390243902439024,0.8354978354978355
2000-04-28,462,425,388,30,492,0.9390243902439024,0.8398268398268398
2000-05-31,463,426,390,30,493,0.9391480730223124,0.8423326133909287
2000-06-30,464,426,392,28,492,0.943089430894309,0.8448275862068966
2000-07-31,463,424,393,29,492,0.9410569105691057,0.8488120950323974
2000-08-31,464,426,395,28,492,0.943089430894309,0.8512931034482759
2000-09-29,464,427,395,28,492,0.943089430894309,0.8512931034482759
2000-10-31,465,429,396,27,492,0.9451219512195121,0.8516129032258064
2000-11-30,466,430,397,26,492,0.9471544715447154,0.851931330472103
2000-12-29,466,433,400,26,492,0.9471544715447154,0.8583690987124464
2001-01-31,468,435,403,26,494,0.9473684210526315,0.8611111111111112
2001-02-28,469,434,403,26,495,0.9474747474747475,0.8592750533049041
2001-03-30,469,433,403,26,495,0.9474747474747475,0.8592750533049041
2001-04-30,469,431,405,26,495,0.9474747474747475,0.8635394456289979
2001-05-31,469,432,405,26,495,0.9474747474747475,0.8635394456289979
2001-06-29,471,433,407,24,495,0.9515151515151515,0.8641188959660298
2001-07-31,471,433,406,24,495,0.9515151515151515,0.861995753715499
2001-08-31,471,433,408,24,495,0.9515151515151515,0.8662420382165605
2001-09-28,472,434,408,24,496,0.9516129032258065,0.864406779661017
2001-10-31,472,435,409,24,496,0.9516129032258065,0.8665254237288136
2001-11-30,473,434,410,23,496,0.9536290322580645,0.8668076109936576
2001-12-31,473,435,410,23,496,0.9536290322580645,0.8668076109936576
2002-01-31,472,435,409,23,495,0.9535353535353536,0.8665254237288136
2002-02-28,472,435,409,23,495,0.9535353535353536,0.8665254237288136
2002-03-28,472,437,409,23,495,0.9535353535353536,0.8665254237288136
2002-04-30,472,437,409,23,495,0.9535353535353536,0.8665254237288136
2002-05-31,474,440,412,21,495,0.9575757575757575,0.869198312236287
2002-06-28,474,440,412,21,495,0.9575757575757575,0.869198312236287
2002-07-31,476,441,414,19,495,0.9616161616161616,0.8697478991596639
2002-08-30,475,440,412,19,494,0.9615384615384616,0.8673684210526316
2002-09-30,476,441,413,18,494,0.9635627530364372,0.8676470588235294
2002-10-31,476,442,413,18,494,0.9635627530364372,0.8676470588235294
2002-11-29,476,444,413,18,494,0.9635627530364372,0.8676470588235294
2002-12-31,476,444,413,18,494,0.9635627530364372,0.8676470588235294
2003-01-31,476,445,413,18,494,0.9635627530364372,0.8676470588235294
2003-02-28,476,445,413,18,494,0.9635627530364372,0.8676470588235294
2003-03-31,477,447,413,17,494,0.9655870445344129,0.8658280922431866
2003-04-30,477,447,413,17,494,0.9655870445344129,0.8658280922431866
2003-05-30,477,447,413,17,494,0.9655870445344129,0.8658280922431866
2003-06-30,477,447,413,17,494,0.9655870445344129,0.8658280922431866
2003-07-31,477,447,413,17,494,0.9655870445344129,0.8658280922431866
2003-08-29,477,446,414,17,494,0.9655870445344129,0.8679245283018868
2003-09-30,477,446,415,17,494,0.9655870445344129,0.870020964360587
2003-10-31,477,447,415,17,494,0.9655870445344129,0.870020964360587
2003-11-28,477,447,415,17,494,0.9655870445344129,0.870020964360587
2003-12-31,477,448,415,17,494,0.9655870445344129,0.870020964360587
2004-01-30,477,447,415,17,494,0.9655870445344129,0.870020964360587
2004-02-27,477,447,415,17,494,0.9655870445344129,0.870020964360587
2004-03-31,477,448,415,17,494,0.9655870445344129,0.870020964360587
2004-04-30,478,449,416,17,495,0.9656565656565657,0.8702928870292888
2004-05-28,478,448,416,17,495,0.9656565656565657,0.8702928870292888
2004-06-30,478,448,416,17,495,0.9656565656565657,0.8702928870292888
2004-07-30,478,448,416,17,495,0.9656565656565657,0.8702928870292888
2004-08-31,478,449,415,17,495,0.9656565656565657,0.8682008368200836
2004-09-30,478,449,415,17,495,0.9656565656565657,0.8682008368200836
2004-10-29,477,448,415,18,495,0.9636363636363636,0.870020964360587
2004-11-30,477,449,415,18,495,0.9636363636363636,0.870020964360587
2004-12-31,478,449,416,17,495,0.9656565656565657,0.8702928870292888
2005-01-31,478,448,416,17,495,0.9656565656565657,0.8702928870292888
2005-02-28,478,449,416,17,495,0.9656565656565657,0.8702928870292888
2005-03-31,479,450,417,17,496,0.9657258064516129,0.8705636743215032
2005-04-29,479,449,417,17,496,0.9657258064516129,0.8705636743215032
2005-05-31,479,449,417,17,496,0.9657258064516129,0.8705636743215032
2005-06-30,479,449,417,17,496,0.9657258064516129,0.8705636743215032
2005-07-29,479,448,417,17,496,0.9657258064516129,0.8705636743215032
2005-08-31,480,450,418,16,496,0.967741935483871,0.8708333333333333
2005-09-30,480,450,418,16,496,0.967741935483871,0.8708333333333333
2005-10-31,481,451,419,15,496,0.969758064516129,0.8711018711018711
2005-11-30,482,452,420,15,497,0.9698189134808853,0.8713692946058091
2005-12-30,483,453,421,14,497,0.971830985915493,0.8716356107660456
2006-01-31,484,454,423,13,497,0.9738430583501007,0.8739669421487604
2006-02-28,484,454,424,13,497,0.9738430583501007,0.8760330578512396
2006-03-31,485,455,424,12,497,0.9758551307847082,0.8742268041237113
2006-04-28,485,454,426,12,497,0.9758551307847082,0.8783505154639175
2006-05-31,485,454,426,12,497,0.9758551307847082,0.8783505154639175
2006-06-30,485,453,427,12,497,0.9758551307847082,0.8804123711340206
2006-07-31,485,453,426,12,497,0.9758551307847082,0.8783505154639175
2006-08-31,485,455,425,12,497,0.9758551307847082,0.8762886597938144
2006-09-29,485,455,425,12,497,0.9758551307847082,0.8762886597938144
2006-10-31,485,455,425,12,497,0.9758551307847082,0.8762886597938144
2006-11-30,484,454,426,13,497,0.9738430583501007,0.8801652892561983
2006-12-29,484,454,424,13,497,0.9738430583501007,0.8760330578512396
2007-01-31,484,454,424,13,497,0.9738430583501007,0.8760330578512396
2007-02-28,484,455,424,13,497,0.9738430583501007,0.8760330578512396
2007-03-30,484,455,425,13,497,0.9738430583501007,0.878099173553719
2007-04-30,484,454,425,13,497,0.9738430583501007,0.878099173553719
2007-05-31,483,453,424,14,497,0.971830985915493,0.8778467908902692
2007-06-29,483,454,424,14,497,0.971830985915493,0.8778467908902692
2007-07-31,483,454,425,14,497,0.971830985915493,0.8799171842650103
2007-08-31,483,455,425,14,497,0.971830985915493,0.8799171842650103
2007-09-28,483,454,426,14,497,0.971830985915493,0.8819875776397516
2007-10-31,483,454,428,14,497,0.971830985915493,0.8861283643892339
2007-11-30,483,455,429,14,497,0.971830985915493,0.8881987577639752
2007-12-31,483,455,430,14,497,0.971830985915493,0.8902691511387164
2008-01-31,483,454,430,14,497,0.971830985915493,0.8902691511387164
2008-02-29,483,454,430,14,497,0.971830985915493,0.8902691511387164
2008-03-31,484,455,431,13,497,0.9738430583501007,0.890495867768595
2008-04-30,484,455,431,13,497,0.9738430583501007,0.890495867768595
2008-05-30,484,455,431,13,497,0.9738430583501007,0.890495867768595
2008-06-30,485,457,433,12,497,0.9758551307847082,0.8927835051546392
2008-07-31,486,459,434,12,498,0.9759036144578314,0.8930041152263375
2008-08-29,486,460,436,12,498,0.9759036144578314,0.897119341563786
2008-09-30,489,462,439,8,497,0.9839034205231388,0.8977505112474438
2008-10-31,489,462,439,9,498,0.9819277108433735,0.8977505112474438
2008-11-28,489,463,441,9,498,0.9819277108433735,0.901840490797546
2008-12-31,489,464,441,9,498,0.9819277108433735,0.901840490797546
2009-01-30,489,463,443,9,498,0.9819277108433735,0.9059304703476483
2009-02-27,489,463,444,9,498,0.9819277108433735,0.9079754601226994
2009-03-31,490,464,446,9,499,0.9819639278557114,0.9102040816326531
2009-04-30,490,464,445,9,499,0.9819639278557114,0.9081632653061225
2009-05-29,490,464,445,9,499,0.9819639278557114,0.9081632653061225
2009-06-30,491,463,445,8,499,0.9839679358717435,0.9063136456211812
2009-07-31,492,464,446,7,499,0.9859719438877755,0.9065040650406504
2009-08-31,492,465,447,7,499,0.9859719438877755,0.9085365853658537
2009-09-30,492,465,447,7,499,0.9859719438877755,0.9085365853658537
2009-10-30,492,464,447,7,499,0.9859719438877755,0.9085365853658537
2009-11-30,492,463,447,7,499,0.9859719438877755,0.9085365853658537
2009-12-31,492,463,448,7,499,0.9859719438877755,0.9105691056910569
2010-01-29,492,463,448,7,499,0.9859719438877755,0.9105691056910569
2010-02-26,490,461,448,8,498,0.9839357429718876,0.9142857142857143
2010-03-31,491,462,448,8,499,0.9839679358717435,0.9124236252545825
2010-04-30,491,462,448,8,499,0.9839679358717435,0.9124236252545825
2010-05-28,491,462,448,8,499,0.9839679358717435,0.9124236252545825
2010-06-30,491,463,448,8,499,0.9839679358717435,0.9124236252545825
2010-07-30,490,462,448,8,498,0.9839357429718876,0.9142857142857143
2010-08-31,489,461,447,8,497,0.9839034205231388,0.9141104294478528
2010-09-30,489,461,447,8,497,0.9839034205231388,0.9141104294478528
2010-10-29,489,461,447,8,497,0.9839034205231388,0.9141104294478528
2010-11-30,489,461,447,8,497,0.9839034205231388,0.9141104294478528
2010-12-31,490,462,447,7,497,0.9859154929577465,0.9122448979591836
2011-01-31,490,463,447,7,497,0.9859154929577465,0.9122448979591836
2011-02-28,490,462,447,7,497,0.9859154929577465,0.9122448979591836
2011-03-31,490,462,447,7,497,0.9859154929577465,0.9122448979591836
2011-04-29,490,462,447,7,497,0.9859154929577465,0.9122448979591836
2011-05-31,490,463,447,7,497,0.9859154929577465,0.9122448979591836
2011-06-30,489,462,446,8,497,0.9839034205231388,0.9120654396728016
2011-07-29,490,462,447,7,497,0.9859154929577465,0.9122448979591836
2011-08-31,490,462,447,7,497,0.9859154929577465,0.9122448979591836
2011-09-30,490,462,447,7,497,0.9859154929577465,0.9122448979591836
2011-10-31,490,463,447,7,497,0.9859154929577465,0.9122448979591836
2011-11-30,490,463,447,7,497,0.9859154929577465,0.9122448979591836
2011-12-30,491,467,448,6,497,0.9879275653923542,0.9124236252545825
2012-01-31,491,467,449,6,497,0.9879275653923542,0.9144602851323829
2012-02-29,491,467,449,6,497,0.9879275653923542,0.9144602851323829
2012-03-30,491,467,449,6,497,0.9879275653923542,0.9144602851323829
2012-04-30,491,467,449,6,497,0.9879275653923542,0.9144602851323829
2012-05-31,491,467,449,6,497,0.9879275653923542,0.9144602851323829
2012-06-29,491,468,449,6,497,0.9879275653923542,0.9144602851323829
2012-07-31,491,468,449,6,497,0.9879275653923542,0.9144602851323829
2012-08-31,491,468,449,6,497,0.9879275653923542,0.9144602851323829
2012-09-28,491,468,449,6,497,0.9879275653923542,0.9144602851323829
2012-10-31,492,471,451,5,497,0.9899396378269618,0.9166666666666666
2012-11-30,492,471,451,5,497,0.9899396378269618,0.9166666666666666
2012-12-31,492,470,451,5,497,0.9899396378269618,0.9166666666666666
2013-01-31,492,470,452,5,497,0.9899396378269618,0.9186991869918699
2013-02-28,492,470,453,5,497,0.9899396378269618,0.9207317073170732
2013-03-28,492,470,453,5,497,0.9899396378269618,0.9207317073170732
2013-04-30,492,469,453,5,497,0.9899396378269618,0.9207317073170732
2013-05-31,492,470,454,5,497,0.9899396378269618,0.9227642276422764
2013-06-28,492,469,455,5,497,0.9899396378269618,0.9247967479674797
2013-07-31,492,470,455,5,497,0.9899396378269618,0.9247967479674797
2013-08-30,492,470,455,5,497,0.9899396378269618,0.9247967479674797
2013-09-30,492,471,455,5,497,0.9899396378269618,0.9247967479674797
2013-10-31,492,471,455,5,497,0.9899396378269618,0.9247967479674797
2013-11-29,492,472,455,5,497,0.9899396378269618,0.9247967479674797
2013-12-31,492,474,454,5,497,0.9899396378269618,0.9227642276422764
2014-01-31,492,474,454,5,497,0.9899396378269618,0.9227642276422764
2014-02-28,492,474,454,5,497,0.9899396378269618,0.9227642276422764
2014-03-31,492,474,453,5,497,0.9899396378269618,0.9207317073170732
2014-04-30,493,476,453,5,498,0.9899598393574297,0.9188640973630832
2014-05-30,493,475,453,5,498,0.9899598393574297,0.9188640973630832
2014-06-30,493,475,454,5,498,0.9899598393574297,0.920892494929006
2014-07-31,493,475,455,5,498,0.9899598393574297,0.922920892494929
2014-08-29,494,476,454,5,499,0.9899799599198397,0.9190283400809717
2014-09-30,495,477,455,4,499,0.9919839679358717,0.9191919191919192
2014-10-31,495,477,455,4,499,0.9919839679358717,0.9191919191919192
2014-11-28,495,477,455,4,499,0.9919839679358717,0.9191919191919192
2014-12-31,495,479,456,4,499,0.9919839679358717,0.9212121212121213
2015-01-30,495,479,455,4,499,0.9919839679358717,0.9191919191919192
2015-02-27,495,480,455,4,499,0.9919839679358717,0.9191919191919192
2015-03-31,496,481,457,4,500,0.992,0.9213709677419355
2015-04-30,496,480,458,4,500,0.992,0.9233870967741935
2015-05-29,496,480,458,4,500,0.992,0.9233870967741935
2015-06-30,495,482,458,4,499,0.9919839679358717,0.9252525252525252
2015-07-31,496,483,460,4,500,0.992,0.9274193548387096
2015-08-31,496,483,460,4,500,0.992,0.9274193548387096
2015-09-30,499,486,460,4,503,0.9920477137176938,0.9218436873747495
2015-10-30,499,486,460,4,503,0.9920477137176938,0.9218436873747495
2015-11-30,500,487,461,4,504,0.9920634920634921,0.922
2015-12-31,498,486,460,4,502,0.9920318725099602,0.9236947791164659
2016-01-29,499,487,461,6,505,0.9881188118811881,0.9238476953907816
2016-02-29,499,487,462,6,505,0.9881188118811881,0.9258517034068137
2016-03-31,499,487,464,6,505,0.9881188118811881,0.9298597194388778
2016-04-29,500,489,465,6,506,0.9881422924901185,0.93
2016-05-31,500,489,466,5,505,0.9900990099009901,0.932
2016-06-30,500,489,466,5,505,0.9900990099009901,0.932
2016-07-29,500,489,467,5,505,0.9900990099009901,0.934
2016-08-31,500,489,467,5,505,0.9900990099009901,0.934
2016-09-30,501,490,468,5,506,0.9901185770750988,0.9341317365269461
2016-10-31,500,490,468,6,506,0.9881422924901185,0.936
2016-11-30,501,491,468,5,506,0.9901185770750988,0.9341317365269461
2016-12-30,501,492,468,5,506,0.9901185770750988,0.9341317365269461
2017-01-31,501,492,468,5,506,0.9901185770750988,0.9341317365269461
2017-02-28,501,492,468,5,506,0.9901185770750988,0.9341317365269461
2017-03-31,501,492,470,5,506,0.9901185770750988,0.93812375249501
2017-04-28,501,492,470,5,506,0.9901185770750988,0.93812375249501
2017-05-31,502,492,471,4,506,0.9920948616600791,0.9382470119521913
2017-06-30,502,493,471,4,506,0.9920948616600791,0.9382470119521913
2017-07-31,502,494,473,4,506,0.9920948616600791,0.9422310756972112
2017-08-31,502,494,473,4,506,0.9920948616600791,0.9422310756972112
2017-09-29,502,494,473,4,506,0.9920948616600791,0.9422310756972112
2017-10-31,502,495,473,4,506,0.9920948616600791,0.9422310756972112
2017-11-30,502,496,473,4,506,0.9920948616600791,0.9422310756972112
2017-12-29,501,496,472,4,505,0.9920792079207921,0.9421157684630739
2018-01-31,502,497,473,4,506,0.9920948616600791,0.9422310756972112
2018-02-28,502,499,473,4,506,0.9920948616600791,0.9422310756972112
2018-03-29,502,500,474,4,506,0.9920948616600791,0.9442231075697212
2018-04-30,502,500,474,4,506,0.9920948616600791,0.9442231075697212
2018-05-31,502,502,475,4,506,0.9920948616600791,0.9462151394422311
2018-06-29,503,502,475,3,506,0.9940711462450593,0.9443339960238568
2018-07-31,503,503,475,3,506,0.9940711462450593,0.9443339960238568
2018-08-31,503,503,476,3,506,0.9940711462450593,0.9463220675944334
2018-09-28,503,502,478,2,505,0.996039603960396,0.9502982107355865
2018-10-31,502,501,478,2,504,0.996031746031746,0.952191235059761
2018-11-30,501,500,477,2,503,0.9960238568588469,0.9520958083832335
2018-12-31,503,502,479,2,505,0.996039603960396,0.952286282306163
2019-01-31,503,503,478,2,505,0.996039603960396,0.9502982107355865
2019-02-28,503,503,478,2,505,0.996039603960396,0.9502982107355865
2019-03-29,503,503,478,2,505,0.996039603960396,0.9502982107355865
2019-04-30,503,503,478,2,505,0.996039603960396,0.9502982107355865
2019-05-31,503,503,478,2,505,0.996039603960396,0.9502982107355865
2019-06-28,503,502,480,2,505,0.996039603960396,0.9542743538767395
2019-07-31,503,503,481,2,505,0.996039603960396,0.9562624254473161
2019-08-30,503,503,482,2,505,0.996039603960396,0.9582504970178927
2019-09-30,503,503,482,2,505,0.996039603960396,0.9582504970178927
2019-10-31,503,503,482,2,505,0.996039603960396,0.9582504970178927
2019-11-29,503,503,483,2,505,0.996039603960396,0.9602385685884692
2019-12-31,503,503,484,2,505,0.996039603960396,0.9622266401590457
2020-01-31,503,503,484,2,505,0.996039603960396,0.9622266401590457
2020-02-28,503,503,484,2,505,0.996039603960396,0.9622266401590457
2020-03-31,503,503,484,2,505,0.996039603960396,0.9622266401590457
2020-04-30,503,503,485,2,505,0.996039603960396,0.9642147117296223
2020-05-29,503,503,485,2,505,0.996039603960396,0.9642147117296223
2020-06-30,503,503,486,2,505,0.996039603960396,0.9662027833001988
2020-07-31,503,503,486,2,505,0.996039603960396,0.9662027833001988
2020-08-31,503,503,486,2,505,0.996039603960396,0.9662027833001988
2020-09-30,503,503,487,2,505,0.996039603960396,0.9681908548707754
2020-10-30,503,503,487,2,505,0.996039603960396,0.9681908548707754
2020-11-30,503,503,488,2,505,0.996039603960396,0.9701789264413518
2020-12-31,503,503,488,2,505,0.996039603960396,0.9701789264413518
2021-01-29,503,503,488,2,505,0.996039603960396,0.9701789264413518
2021-02-26,503,503,488,2,505,0.996039603960396,0.9701789264413518
2021-03-31,503,503,488,2,505,0.996039603960396,0.9701789264413518
2021-04-30,503,503,488,2,505,0.996039603960396,0.9701789264413518
2021-05-28,503,503,488,2,505,0.996039603960396,0.9701789264413518
2021-06-30,503,503,489,2,505,0.996039603960396,0.9721669980119284
2021-07-30,503,503,489,2,505,0.996039603960396,0.9721669980119284
2021-08-31,503,503,489,2,505,0.996039603960396,0.9721669980119284
2021-09-30,503,503,489,2,505,0.996039603960396,0.9721669980119284
2021-10-29,503,503,489,2,505,0.996039603960396,0.9721669980119284
2021-11-30,503,503,489,2,505,0.996039603960396,0.9721669980119284
2021-12-31,503,503,489,2,505,0.996039603960396,0.9721669980119284
2022-01-31,503,503,489,2,505,0.996039603960396,0.9721669980119284
2022-02-28,503,503,490,2,505,0.996039603960396,0.974155069582505
2022-03-31,503,503,490,2,505,0.996039603960396,0.974155069582505
2022-04-29,502,502,491,2,504,0.996031746031746,0.9780876494023905
2022-05-31,502,502,491,2,504,0.996031746031746,0.9780876494023905
2022-06-30,501,501,491,2,503,0.9960238568588469,0.9800399201596807
2022-07-29,501,501,491,2,503,0.9960238568588469,0.9800399201596807
2022-08-31,501,501,491,2,503,0.9960238568588469,0.9800399201596807
2022-09-30,501,501,491,2,503,0.9960238568588469,0.9800399201596807
2022-10-31,501,501,491,2,503,0.9960238568588469,0.9800399201596807
2022-11-30,501,501,491,2,503,0.9960238568588469,0.9800399201596807
2022-12-30,501,501,492,2,503,0.9960238568588469,0.9820359281437125
2023-01-31,501,501,492,2,503,0.9960238568588469,0.9820359281437125
2023-02-28,501,501,492,2,503,0.9960238568588469,0.9820359281437125
2023-03-31,501,501,493,2,503,0.9960238568588469,0.9840319361277445
2023-04-28,501,501,493,2,503,0.9960238568588469,0.9840319361277445
2023-05-31,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2023-06-30,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2023-07-31,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2023-08-31,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2023-09-29,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2023-10-31,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2023-11-30,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2023-12-29,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2024-01-31,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2024-02-29,501,501,494,2,503,0.9960238568588469,0.9860279441117764
2024-03-28,501,501,495,2,503,0.9960238568588469,0.9880239520958084
2024-04-30,501,501,495,2,503,0.9960238568588469,0.9880239520958084
2024-05-31,501,501,495,2,503,0.9960238568588469,0.9880239520958084
2024-06-28,501,501,495,2,503,0.9960238568588469,0.9880239520958084
2024-07-31,501,501,495,2,503,0.9960238568588469,0.9880239520958084
2024-08-30,501,501,495,2,503,0.9960238568588469,0.9880239520958084
2024-09-30,502,502,496,2,504,0.996031746031746,0.9880478087649402
2024-10-31,501,501,495,2,503,0.9960238568588469,0.9880239520958084
2024-11-29,501,501,495,2,503,0.9960238568588469,0.9880239520958084
2024-12-31,501,501,495,2,503,0.9960238568588469,0.9880239520958084
