factor,start,end,coverage,months,mean_ic,ic_std,icir_annualized,ic_hac_tstat,ic_positive_month_ratio,quantile_monotonicity,gross_spread_ann,net_spread_ann,spread_hac_tstat,average_top_turnover,average_bottom_turnover,period
book_to_market,2000-01-01,2004-12-31,0.7342173943711645,60,-0.029855138458143343,0.10253056547335505,-1.0086868523112948,-1.7758760654393613,0.48333333333333334,-0.8999999999999998,-0.1068827924786242,-0.10848857062126882,-1.6961546803367342,0.06846309421611989,0.08276059252516713,research_2000_2004
book_to_market,2005-01-01,2009-12-31,0.7976284584980237,60,-0.009632278759103543,0.07353517638709571,-0.453758242602422,-0.8883600110010487,0.4666666666666667,-0.6,-0.005993641753738399,-0.008034428320099818,-0.07113318393121705,0.09100509816412515,0.08310099325301283,research_2005_2009
book_to_market,2010-01-01,2014-12-31,0.8671776956212054,60,-0.002828671968651527,0.09509474678960511,-0.1030425703428211,-0.20827558781500033,0.5333333333333333,0.3,0.011535379957690939,0.009812088755930315,0.37413168605598895,0.07754430879732396,0.06704169677149825,research_2010_2014
earnings_yield,2000-01-01,2004-12-31,0.730408407984764,60,-0.007369680433441733,0.08938300992927388,-0.28561716497055994,-0.46503004481068255,0.48333333333333334,-0.8999999999999998,-0.06857605554936064,-0.07131793371721118,-1.070579824741539,0.12143420296881027,0.12654059283891253,research_2000_2004
earnings_yield,2005-01-01,2009-12-31,0.7952225468293521,60,0.0011842500822951635,0.0888258315839054,0.04618434243343479,0.12322541121834646,0.5333333333333333,0.0,-0.03816755553910656,-0.04108145153151155,-1.2010309846735394,0.13960641845873922,0.11618570079079692,research_2005_2009
earnings_yield,2010-01-01,2014-12-31,0.8656174744768171,60,0.016691899803115473,0.06698796437285,0.8631765065416007,2.0517283812362956,0.55,0.7999999999999999,0.004805978860033422,0.0020890260046704245,0.17889367967660944,0.11882998610976485,0.11095866758022908,research_2010_2014
sales_yield,2000-01-01,2004-12-31,0.730302602807364,60,-0.030005750488407354,0.10288671401339522,-1.0102661915782405,-1.9071244946664176,0.4166666666666667,-0.8999999999999998,-0.10461831174089009,-0.10617989780615378,-1.7157507966549592,0.06013152162186913,0.08603907755757216,research_2000_2004
sales_yield,2005-01-01,2009-12-31,0.7952225468293521,60,0.0006324922989953742,0.07222023532245868,0.030338001319565287,0.06741536550568039,0.5,0.7,0.059932145543553084,0.05812195183174795,1.1817094825886656,0.06510846943818692,0.0805651718033665,research_2005_2009
sales_yield,2010-01-01,2014-12-31,0.865719228029712,60,0.008107512154432315,0.07808408403327873,0.3596795210781788,0.6611464473500306,0.5833333333333334,0.7999999999999999,0.01628046338467537,0.015077112774913193,0.6609526430092446,0.046089722671035165,0.05452571254486675,research_2010_2014
ebitda_to_ev,2000-01-01,2004-12-31,0.6198419976017493,60,0.04081451225069768,0.09088778724948184,1.5556063370825166,4.5051152041226885,0.6333333333333333,0.8999999999999998,0.11898291627841884,0.11501107898252871,2.617754281903705,0.15459282502045893,0.1498133161872077,research_2000_2004
ebitda_to_ev,2005-01-01,2009-12-31,0.6979549750816292,60,0.018625938648163257,0.07998950859107276,0.8066325858358888,1.9139214554414932,0.6333333333333333,0.6,0.012771777058726563,0.009573085909198475,0.4872365864208616,0.13051828953269282,0.13786472295746866,research_2005_2009
ebitda_to_ev,2010-01-01,2014-12-31,0.7915408879693383,60,0.008764313914910381,0.08407736152645533,0.36110165015897033,0.690656227991685,0.5333333333333333,0.49999999999999994,0.001250696718622546,-0.0010749908518400408,0.01668289783820091,0.10208681363064318,0.0953092111466284,research_2010_2014
dividend_yield_12m,2000-01-01,2004-12-31,0.9920646116949989,60,0.019418240537498674,0.1148859883163201,0.5855088109080314,1.411416931329745,0.6333333333333333,0.6,-0.0013881701549298686,-0.0026274144852169723,0.058661540295992756,0.05563188332192981,0.04960584632304111,research_2000_2004
dividend_yield_12m,2005-01-01,2009-12-31,0.9910293864925245,60,0.007982430281166445,0.09004768633966817,0.3070811783592918,0.5820952530837691,0.5166666666666667,0.7999999999999999,0.02968707935743664,0.028125917557043856,0.6501902864178417,0.06693137071968892,0.06175488660646165,research_2005_2009
dividend_yield_12m,2010-01-01,2014-12-31,0.9928433334463929,60,0.00594099539258666,0.11189301642920693,0.18392758003808224,0.4242476619478801,0.5,0.3,0.0002942390929594474,-0.000937114166105868,0.04854437443880778,0.05705296536778528,0.04702019535648253,research_2010_2014
roa,2000-01-01,2004-12-31,0.7259645905339634,60,0.01657706377233725,0.08331330391911104,0.6892612666489454,1.8593763208679475,0.5666666666666667,0.7,0.02951258865817663,0.027584874307028384,0.8959014138655915,0.07508180949249599,0.0836528781479394,research_2000_2004
roa,2005-01-01,2009-12-31,0.7934352981611961,60,0.01017839146609942,0.08205203300207167,0.42971491414879515,0.909009980112381,0.5666666666666667,0.6,0.01060086806010796,0.00869946754979467,0.2699425975861596,0.07500852507447131,0.08446619375720522,research_2005_2009
roa,2010-01-01,2014-12-31,0.8627005392938304,60,0.0019174043787635907,0.09595678301868915,0.06921953192254791,0.1381833250000957,0.4666666666666667,-0.8999999999999998,-0.012931334764670899,-0.014487325307886434,-0.3928116721975601,0.04944382771384805,0.08437060176820123,research_2010_2014
roe,2000-01-01,2004-12-31,0.7259645905339634,60,0.011900316302326372,0.06622714249156209,0.6224623828333106,1.7232682207736691,0.5333333333333333,0.8999999999999998,0.03442493589034079,0.03197048586577811,1.0670188948790298,0.09432463992713373,0.10782548286089927,research_2000_2004
roe,2005-01-01,2009-12-31,0.7934352981611961,60,0.012251111767161881,0.06324365630366521,0.671041153219965,1.6307779949130774,0.65,0.6,0.027029525034825808,0.024614084662261337,0.8208335990738111,0.09087065602426037,0.10869965714929347,research_2005_2009
roe,2010-01-01,2014-12-31,0.8627005392938304,60,0.01163572958193967,0.07785714932856552,0.5177090348890379,1.14156927994082,0.6,0.3,0.004188714399197657,0.0020625499223942967,0.14950385289539908,0.07800100616705537,0.10178253296448736,research_2010_2014
gross_profitability,2000-01-01,2004-12-31,0.6623051421316216,60,0.008999754466890596,0.082712637949862,0.3769201993472504,0.9389277303646186,0.5833333333333334,0.39999999999999997,0.019460548221273077,0.01818749935586661,0.585041271590128,0.04601260783678534,0.05978821511527217,research_2000_2004
gross_profitability,2005-01-01,2009-12-31,0.7418800481182334,60,0.007225135197299652,0.08885798553919502,0.28166970424413135,0.5772373125058842,0.5333333333333333,0.09999999999999999,0.004808547206570424,0.0036887747501670454,0.17271138577043693,0.04397068379896043,0.0505994539214425,research_2005_2009
gross_profitability,2010-01-01,2014-12-31,0.8218295288810501,60,-0.004640731839111312,0.08848073039571627,-0.181688900932321,-0.3258991064825683,0.4666666666666667,-0.09999999999999999,-0.02011614224884506,-0.02098722304546352,-0.62247376232173,0.03275795700253975,0.042528340237238,research_2010_2014
operating_margin,2000-01-01,2004-12-31,0.702405304366227,60,-0.0022102316629157496,0.06845140286798437,-0.11185259545522162,-0.2946201684758547,0.4666666666666667,0.3,-0.004757552970644396,-0.0063640540569746,-0.03728686851312571,0.054993637871514484,0.08172668126041478,research_2000_2004
operating_margin,2005-01-01,2009-12-31,0.7742567451452139,60,-0.003327957514375257,0.06908026491018723,-0.1668838852260549,-0.3506000526369448,0.4666666666666667,-0.6,-0.0132965834108133,-0.014734991131154174,-0.3642948601383215,0.06002894702854668,0.06330545572299606,research_2005_2009
operating_margin,2010-01-01,2014-12-31,0.851202387816708,60,-0.00664192254931128,0.07559379136252507,-0.3043675177019264,-0.6032334986786771,0.36666666666666664,-0.7999999999999999,-0.020021998839822364,-0.021134543266210115,-0.7081269298694367,0.0440438906249131,0.052246550769087345,research_2010_2014
cfo_roa,2000-01-01,2004-12-31,0.6609649432178881,60,0.02518602865495924,0.09086138758488935,0.9602204507501889,2.159871797205875,0.6,0.7999999999999999,0.09927534903733903,0.09696080233704163,1.9691741606918904,0.09035683115199757,0.08891667229252577,research_2000_2004
cfo_roa,2005-01-01,2009-12-31,0.7931603368276336,60,0.020414589706856095,0.08069249475536905,0.8763914585896403,1.729930258402558,0.6166666666666667,0.7999999999999999,0.03139858054775235,0.029331350928676336,0.6810480639316371,0.0819132425386962,0.08850394161579118,research_2005_2009
cfo_roa,2010-01-01,2014-12-31,0.8626327035919004,60,0.0034669634286952837,0.08741252072381615,0.13739351655253976,0.26099809394438017,0.45,-0.19999999999999998,-0.022079553843249,-0.023779877346222,-0.648498606573616,0.06351536946695943,0.08387725985420914,research_2010_2014
accruals,2000-01-01,2004-12-31,0.6584256189602878,60,0.011272978540173761,0.061853596913813404,0.6313415082851583,1.5330051263107431,0.5833333333333334,0.8999999999999998,0.037825917281964605,0.03476026630041806,1.1194716596217935,0.126934649406784,0.12378134795981047,research_2000_2004
accruals,2005-01-01,2009-12-31,0.7912699776593917,60,0.017428043497031677,0.056397639485473224,1.0704794416494876,2.4412192030113364,0.6,0.49999999999999994,0.06286882461754861,0.059824734114302336,2.9211787344081785,0.12117416568482388,0.12310176333859854,research_2005_2009
accruals,2010-01-01,2014-12-31,0.861140318149442,60,0.0027828660988765018,0.06327639869268564,0.15234955128608688,0.35240495561278845,0.48333333333333334,0.09999999999999999,0.00731716466047394,0.004546737472697959,0.3270944722769469,0.10999532782760987,0.1235792231086009,research_2010_2014
leverage,2000-01-01,2004-12-31,0.7342173943711645,60,-0.011637174685015371,0.08029833367670133,-0.5020322810720868,-1.3749609552065096,0.4166666666666667,-0.8999999999999998,-0.04506142902384225,-0.04649318927768864,-0.8511423281787059,0.062192522374495754,0.06378661981154471,research_2000_2004
leverage,2005-01-01,2009-12-31,0.7976284584980237,60,0.010893789299359479,0.06593866822955158,0.5723074808776464,1.3807337561110444,0.6166666666666667,0.3,0.02223626063586459,0.02074968872855698,0.7816975277439306,0.06294273451994895,0.06078568351934056,research_2005_2009
leverage,2010-01-01,2014-12-31,0.8671776956212054,60,0.0026323612115866615,0.062271991029277655,0.14643448160178582,0.306235705266204,0.5333333333333333,0.19999999999999998,0.009109772912098357,0.007971447019042621,0.46525555148235587,0.04948252380781871,0.04628501690530718,research_2010_2014
cash_to_assets,2000-01-01,2004-12-31,0.7327361218875643,60,-0.011383620180965068,0.11213825417017169,-0.351655350324556,-0.8106349489852716,0.45,-0.3,-0.014315697019864237,-0.015939295615543525,-0.06326190217439775,0.060357852654362956,0.07793786178413756,research_2000_2004
cash_to_assets,2005-01-01,2009-12-31,0.7976284584980237,60,0.013622636560479321,0.07792699129984962,0.6055693479812573,1.4389249412603287,0.5166666666666667,0.8999999999999998,0.04325291953102295,0.041512323802030515,1.9055361986026929,0.06272273111394404,0.07926617217663558,research_2005_2009
cash_to_assets,2010-01-01,2014-12-31,0.8671776956212054,60,0.0006548929931210673,0.0629299841142024,0.03604984026527178,0.08805982528627601,0.55,0.09999999999999999,0.003663153411028075,0.0020503860406955177,0.14457379572964776,0.06229354522840603,0.07424072167271628,research_2010_2014
current_ratio,2000-01-01,2004-12-31,0.6022430697608803,60,-0.010215421268037456,0.08204063740140513,-0.43133815673298304,-1.1209719860728171,0.45,-0.09999999999999999,-0.04676951169171362,-0.04829482524590245,-0.9133140712784997,0.06076815134920499,0.07352981881570494,research_2000_2004
current_ratio,2005-01-01,2009-12-31,0.6494586698745489,60,-0.005643294101869158,0.060068005688425005,-0.32544686624662417,-0.7394735378034986,0.45,-0.39999999999999997,-0.018801898892198965,-0.020753114232268777,-0.7963690730073478,0.07971204554017712,0.08851309421334459,research_2005_2009
current_ratio,2010-01-01,2014-12-31,0.7253671607366957,60,-0.004811290429757253,0.06387832329620226,-0.2609147843680144,-0.5767354120161725,0.43333333333333335,-0.3,-0.012163348772795679,-0.013927613972235742,-0.660799869247521,0.07286759616686221,0.07849868869844329,research_2010_2014
sales_growth_yoy,2000-01-01,2004-12-31,0.7234252662763632,60,-0.004215664772319125,0.10296463743784115,-0.14183016140357912,-0.29690625608597954,0.5,-0.3,-0.01766804346774975,-0.020170514985687893,-0.15209194604560264,0.1006011623906874,0.11422229460284707,research_2000_2004
sales_growth_yoy,2005-01-01,2009-12-31,0.7928853754940711,60,0.0016364785054538073,0.08957518875117008,0.06328680869016534,0.12877346096116096,0.55,-0.49999999999999994,-0.02696699296129823,-0.029481168864651686,-0.5986654591385158,0.10345118599462515,0.11473694556701049,research_2005_2009
sales_growth_yoy,2010-01-01,2014-12-31,0.863073635654445,60,0.0008008260107259954,0.08056171852387033,0.03443499875661504,0.09411302002865266,0.48333333333333334,0.09999999999999999,0.009768918995614495,0.007346132019194984,0.4593765293496303,0.09303281040243176,0.110652610387869,research_2010_2014
earnings_growth_yoy,2000-01-01,2004-12-31,0.7236368766311632,60,0.007655331042433932,0.0708936086797133,0.37406537940983847,0.956753445242323,0.5666666666666667,0.3,0.016669909849974518,0.012341574372641384,0.5901783916171928,0.17302464880184082,0.18756307333189864,research_2000_2004
earnings_growth_yoy,2005-01-01,2009-12-31,0.7926791544938993,60,0.012527658790198438,0.06745194771186547,0.6433777603339261,1.3756757843989291,0.5833333333333334,0.0,0.0224831420417142,0.01842147241137493,0.5791488219208866,0.16249038112109868,0.17550303719084812,research_2005_2009
earnings_growth_yoy,2010-01-01,2014-12-31,0.8629379642505851,60,-0.0009214939199681675,0.05978911309694961,-0.05339013093111445,-0.1311894918018433,0.4666666666666667,-0.09999999999999999,0.0008496360849115092,-0.00333485791272925,-0.157951202235496,0.1533021009654943,0.20207599344746988,research_2010_2014
asset_growth_yoy,2000-01-01,2004-12-31,0.7304789447696974,60,0.0021004418373378768,0.08709605470573387,0.08354160226669871,0.2123897120521617,0.55,0.3,0.014809722355042965,0.011352368040929317,0.43995618959870564,0.1588413069313297,0.13112158417443712,research_2000_2004
asset_growth_yoy,2005-01-01,2009-12-31,0.795325657329438,60,-0.010275026740994352,0.07601324250869088,-0.4682570504079284,-0.89084842337048,0.4166666666666667,-0.7999999999999999,-0.024690364174353108,-0.027801167799042514,-0.7343972362682627,0.1422486349786431,0.1282595221882189,research_2005_2009
asset_growth_yoy,2010-01-01,2014-12-31,0.8642946782891836,60,0.0062960840180908886,0.060374916220704886,0.3612472891288595,0.8968996562093295,0.4666666666666667,0.6,0.005271222944113418,0.0021811683631132173,0.18086831712724952,0.14058619915966838,0.12050813707561658,research_2010_2014
capex_to_assets,2000-01-01,2004-12-31,0.647033928193553,60,0.0009902368791919244,0.05406784943038195,0.06344400986383901,0.12796996581347678,0.5166666666666667,0.0,0.012304739415613941,0.010764233156952852,0.4306216516835475,0.07226100980663497,0.0571020757872024,research_2000_2004
capex_to_assets,2005-01-01,2009-12-31,0.7882797731568998,60,0.010048292753018372,0.06481954424950341,0.5370032689696767,1.3502449993519534,0.6,0.7,0.016209204049144388,0.014919031881722056,0.7085681801869824,0.05824178796084685,0.0495102672050861,research_2005_2009
capex_to_assets,2010-01-01,2014-12-31,0.8573076009904013,60,0.019101568131379858,0.058487923890824564,1.131340772825027,3.1825782292393243,0.5833333333333334,0.6,0.0373188189311755,0.03597493308017219,2.2235157611910648,0.05954605140004579,0.050594875453514494,research_2010_2014
net_buyback_to_assets,2000-01-01,2004-12-31,0.5494815546307399,60,0.0253007158950754,0.0690606095805091,1.2690917634327963,2.991978576649817,0.6666666666666666,0.7999999999999999,0.0736583503940742,0.07099744351109694,1.7913355830838262,0.09796901037230195,0.11305371009714638,research_2000_2004
net_buyback_to_assets,2005-01-01,2009-12-31,0.6877126654064272,60,-0.002966463763692671,0.07771086046756306,-0.1322354668733171,-0.247247290951673,0.4166666666666667,-0.09999999999999999,-0.011776231659966774,-0.014219782952814453,-0.2964608835086548,0.09696798915702984,0.11207383563906813,research_2005_2009
net_buyback_to_assets,2010-01-01,2014-12-31,0.766272089000441,60,-0.002343595399417823,0.07615157878202113,-0.10660911747596497,-0.2513015269322645,0.5333333333333333,-0.6,-0.0023004003235033155,-0.004425417040583635,-0.12856428784492643,0.08461918893156903,0.09620309666085818,research_2010_2014
momentum_12_1,2000-01-01,2004-12-31,0.9920646116949989,60,0.001033378124468964,0.16293759518592818,0.021969925516183868,0.04956844693885435,0.5333333333333333,-0.7,-0.06510004079001974,-0.07067199943509961,-0.48835899702935165,0.25688776679353464,0.24419303775018314,research_2000_2004
momentum_12_1,2005-01-01,2009-12-31,0.9910293864925245,60,-0.006188013891203408,0.13927342201886134,-0.1539124163410704,-0.2992850985936747,0.5333333333333333,-0.8999999999999998,-0.11554348851588159,-0.12066135868394967,-0.9503839786768894,0.24062858106793078,0.24431604076652777,research_2005_2009
momentum_12_1,2010-01-01,2014-12-31,0.9928433334463929,60,0.019866121455697067,0.10944306256382039,0.6288042550076893,1.5694356903477187,0.6166666666666667,0.8999999999999998,0.036631049167810126,0.03061032275335296,1.0404689119618242,0.25068338244494603,0.24381501471439318,research_2010_2014
momentum_6_1,2000-01-01,2004-12-31,0.9958383296889328,60,-0.0017762658218322754,0.1376028952664163,-0.044716830197576024,-0.12230411613951153,0.5,-0.7999999999999999,-0.04260124143858279,-0.05063507287275204,-0.36080147071502994,0.37194442271222483,0.33681459450255913,research_2000_2004
momentum_6_1,2005-01-01,2009-12-31,0.9951194363292662,60,0.003150503020418346,0.12315615432648577,0.08861646144451338,0.18429663663177384,0.5333333333333333,-0.8999999999999998,-0.07151846618727975,-0.07910387942933172,-0.6132502348496922,0.3396402516759267,0.3500447182854948,research_2005_2009
momentum_6_1,2010-01-01,2014-12-31,0.9963029542448191,60,-0.005328184598861645,0.10069499613013383,-0.18329980221475184,-0.47918244614604794,0.4666666666666667,-0.9999999999999999,-0.0232184126633036,-0.03152372772277989,-1.1481551178246836,0.3608342155557651,0.36098620239056073,research_2010_2014
short_reversal,2000-01-01,2004-12-31,0.9980955068067997,60,0.02700678179713994,0.09716234152181401,0.9628651901327577,2.489268544662225,0.5833333333333334,0.8999999999999998,0.07863951754585519,0.05908825613607105,1.285659375207267,0.767445568199108,0.7916768782403172,research_2000_2004
short_reversal,2005-01-01,2009-12-31,0.9984533424987111,60,-0.0021102926770788077,0.09029507395784378,-0.08095976835342125,-0.16429744511180444,0.43333333333333335,-0.3,-0.027714059395706703,-0.045403592674051474,-0.8476926535774607,0.7687742440073261,0.7820089143547432,research_2005_2009
short_reversal,2010-01-01,2014-12-31,0.9991181358749109,60,0.004473060553452059,0.0980301931201993,0.15806493687942616,0.5309127762285567,0.5166666666666667,0.39999999999999997,0.002497957928336847,-0.015739556294803503,-0.4956850618866669,0.7741510574440356,0.7794985482636814,research_2010_2014
volatility_12m,2000-01-01,2004-12-31,0.9934400790011991,60,0.02563037107581033,0.13949723758595636,0.6364728891895487,1.4628661940092416,0.6,0.8999999999999998,0.0216630040486252,0.01836902789547823,0.47365493037168577,0.15240561201969244,0.12178962701060263,research_2000_2004
volatility_12m,2005-01-01,2009-12-31,0.9924385633270322,60,0.005568144010641576,0.10917541691452941,0.17667545685384148,0.31914980978915014,0.55,-0.49999999999999994,-0.05670730927858603,-0.05983152554179094,-0.6083721859631329,0.14833941784243065,0.1320360721871691,research_2005_2009
volatility_12m,2010-01-01,2014-12-31,0.9939626225282366,60,-0.0011276099159053614,0.14008925918574183,-0.027883332052987795,-0.07040445218116156,0.48333333333333334,-0.49999999999999994,-0.023828082897366598,-0.026951059150786993,-0.5307522673913284,0.1470570871484478,0.12391002710765074,research_2010_2014
turnover,2000-01-01,2004-12-31,0.9985187275163998,60,0.0042819114456348565,0.08871648729421555,0.16719526220091532,0.453609138335239,0.5833333333333334,0.19999999999999998,-0.024475756485563216,-0.030141748431945947,-0.44814313418972207,0.25740270177305546,0.23412354262618779,research_2000_2004
turnover,2005-01-01,2009-12-31,0.9990720054992267,60,-0.008669324686138753,0.07891933160744828,-0.3805331474015239,-0.8087583236529176,0.45,0.09999999999999999,0.010671992941977404,0.003922604035429433,0.19384606595633191,0.302646180123652,0.264994157944128,research_2005_2009
turnover,2010-01-01,2014-12-31,0.9995929857884205,60,-0.0006039851672119125,0.0822891168424264,-0.025425792298445327,-0.06690954745471132,0.4666666666666667,0.6,0.007334090098834567,6.871463933189048e-06,0.07635784938850622,0.318302359464587,0.30039761153562605,research_2010_2014
illiquidity,2000-01-01,2004-12-31,0.9980955068067997,60,0.04881715460965394,0.09086228224191313,1.8611417186231034,3.8755800048767317,0.6333333333333333,0.9999999999999999,0.16525156949572128,0.16084019261796678,3.017186309057489,0.23007104365001269,0.09596716389467513,research_2000_2004
illiquidity,2005-01-01,2009-12-31,0.9984533424987111,60,0.008524445408236592,0.06719645148608963,0.439450959890924,0.9431429747700033,0.5166666666666667,0.39999999999999997,0.0034730378498302183,-0.009142832306000437,-0.2636418384713608,0.5924151365415937,0.4797897604601756,research_2005_2009
illiquidity,2010-01-01,2014-12-31,0.9991181358749109,60,0.00806538569146188,0.05287302388004175,0.5284228808984089,1.130847190749181,0.5666666666666667,0.39999999999999997,0.026584564714608128,0.011487736157042905,0.9111182376616428,0.6846535224259197,0.5725815750028824,research_2010_2014
log_market_cap,2000-01-01,2004-12-31,0.9985187275163998,60,0.045751045909047224,0.09897364158194351,1.6012977747874022,3.3887754374972885,0.65,0.9999999999999999,0.23966310973865124,0.2380518512329719,3.922063715843152,0.06874642810377334,0.04368167261493563,research_2000_2004
log_market_cap,2005-01-01,2009-12-31,0.9990720054992267,60,0.005309784558922202,0.1151048459841376,0.1597989477274545,0.32226051241438886,0.48333333333333334,0.7,0.08856727147622445,0.08731314223086817,1.1988274715153335,0.06145444102325482,0.03705217261029023,research_2005_2009
log_market_cap,2010-01-01,2014-12-31,0.9995929857884205,60,0.009864545553609829,0.10284137588435781,0.33227665315645877,0.6703100680035687,0.48333333333333334,0.6,0.05588657079893755,0.05480595681776346,1.6727617538735364,0.05843457054110806,0.02869231924921998,research_2010_2014
